screening_id,pmid,year,journal,doi,_layer,biomaterial_category,specific_materials,fabrication_method,cell_type_used,cell_source,optical_transparency_reported,mechanical_testing_reported,biological_testing_reported,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,translational_readiness_level,benchmarking_relevance,main_outcomes,main_limitations,evidence_verification_level
PUBMED_0832,39425087,2024,BMC biotechnology,10.1186/s12896-024-00876-z,epithelium_limbus,cultivated autologous epithelial cell-sheet graft on human amniotic membrane carrier,"two ex vivo tissue-engineered constructs compared head-to-head: Cultivated Oral Mucosal Epithelial Transplantation (COMET) and Conjunctival Cultivated Epithelial Transplantation (CCET), both autologous epithelial cell sheets expanded on human amniotic membrane","autologous oral mucosal or conjunctival biopsy tissue harvested from each patient; epithelial cells expanded ex vivo by tissue engineering onto human amniotic membrane substrate to form COMET or CCET grafts; grafts surgically transplanted for ocular surface reconstruction in a prospective RCT (n=50 patients/eyes, 25 per arm; registered with CTRI [REF/2018/10/021791] and ISRCTN [45780], IEC-approved) in patients with bilateral ocular surface disease due to Stevens-Johnson Syndrome or chemical injury; standardized pre-/post-operative medication protocol applied to all patients",autologous oral mucosal epithelial cells (COMET arm) or autologous conjunctival epithelial cells (CCET arm),"human, autologous (patient's own oral mucosa or bulbar conjunctiva, ex vivo expanded)",partial,no / not applicable (clinical trial; no bench-level mechanical testing reported),yes,no,yes,no,yes,"clinical (prospective randomized controlled clinical trial, n=50 eyes, registered)",high,"A prospective, registered randomized controlled trial (n=50 eyes, 25 per arm) compared two autologous ex vivo tissue-engineered epithelial grafts on human amniotic membrane -- cultivated oral mucosal epithelial transplantation (COMET) and conjunctival cultivated epithelial transplantation (CCET) -- for ocular surface reconstruction in bilateral ocular surface disease due to Stevens-Johnson Syndrome or chemical injury, assessing patient comfort, BCVA, ocular surface status, and corneal clarity over 6 months; the retrieved abstract text was truncated before the final comparative efficacy statistics between the two arms were reported.","Retrieved abstract text is truncated before the RESULTS section's comparative statistics, so which construct (COMET vs. CCET) performed better, and by how much, could not be extracted; relatively small per-arm sample size (n=25 each); single-registry (India) trial; longer-term (beyond 6-month) outcomes not available in the retrieved text.",abstract_only
PUBMED_0843,39558722,2024,Regenerative medicine,10.1080/17460751.2024.2427513,epithelium_limbus,natural polymer blend hydrogel/scaffold (collagen/silk fibroin) enriched with a platelet-derived growth factor concentrate,collagen/silk fibroin (Co/SF) scaffold loaded with Platelet-Rich Growth Factor (PRGF),"Co/SF scaffolds fabricated and loaded with PRGF; PRGF release kinetics characterized via release studies; cytotoxicity assays performed; Wharton's jelly-derived mesenchymal stem cells (WJMSCs) and limbal epithelial stem cells (LESCs) cultured on PRGF-loaded Co/SF scaffolds at varying PRGF concentrations; proliferation assessed via MTT assay; differentiation of WJMSCs toward corneal epithelial cells (CECs) assessed via real-time PCR and immunostaining for stem (P63, ABCG2) and differentiated epithelial (cytokeratin 3/12) markers",Wharton's jelly-derived mesenchymal stem cells (WJMSCs) and limbal epithelial stem cells (LESCs),"WJMSCs are human umbilical-cord Wharton's jelly-derived (allogeneic, easily accessible source); LESCs source not further specified in the retrieved abstract",no / not reported in abstract,no / not reported in abstract,yes,yes,no,no,no,early preclinical (in vitro only),medium,"A PRGF-loaded collagen/silk fibroin scaffold significantly and dose-dependently promoted proliferation of both Wharton's jelly-derived mesenchymal stem cells (WJMSCs) and limbal epithelial stem cells (LESCs), and successfully drove differentiation of WJMSCs toward a corneal epithelial cell phenotype (decreased P63/ABCG2, increased cytokeratin 3/12), positioning WJMSCs on a PRGF-enriched Co/SF scaffold as a promising, more accessible alternative cell source and biomaterial platform to conventional cultivated limbal epithelial transplantation (CLET) and amniotic membrane for LSCD treatment.","No optical transparency or mechanical (modulus) data reported; purely in vitro, with no ex vivo or in vivo/animal transplantation evaluation; sample sizes and exact culture/differentiation timeline not specified numerically in the retrieved abstract; functional (barrier/transplant) performance of the differentiated cells not assessed.",abstract_only
PUBMED_0867,39800095,2025,Acta biomaterialia,10.1016/j.actbio.2025.01.022,epithelium_limbus,cell-sheet/spheroid bio-ink auto-bioprinted onto a custom curved natural-polymer (collagen) membrane carrier,"collagen membrane (custom-made, curved) as the bioprinting substrate/carrier for LESC spheroid bio-ink","rabbit limbal epithelial stem cells (LESCs) cultured with Rho kinase inhibitor Y-27632 and a dual-media approach (proliferative medium M1, stabilizing medium M2); spheroid culture used to form LESC spheroids; immunofluorescent staining and RNA sequencing used to characterize gene expression changes; LESC spheroids formulated into a bio-ink and auto-bioprinted onto a custom-made curved collagen membrane to create a bioactive, transplantable anterior corneal sheet; sheet transplanted via anterior superficial corneal transplantation in a rabbit LSCD model to assess in vivo epithelial wound-healing capacity",rabbit limbal epithelial stem cells (LESCs),"rabbit, primary",no / not reported in abstract,no / not reported in abstract,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"Combining the Rho kinase inhibitor Y-27632 with a dual-media (proliferative/stabilizing) culture approach and spheroid culture significantly improved rabbit LESC growth, proliferation, stemness maintenance, and gene-expression profile (upregulated tight-junction/adhesion genes, downregulated aging/cell-cycle genes); LESC spheroids were successfully auto-bioprinted as a bio-ink onto a custom curved collagen membrane to form a bioactive, transplantable anterior corneal cell sheet, which significantly accelerated epithelial wound healing when transplanted into a rabbit LSCD model -- demonstrating a complete cell-culture-to-bioprinted-graft pipeline for LSCD therapy.","Retrieved abstract text in the local screening corpus is truncated before the full discussion/conclusion, so exact quantitative wound-healing/follow-up metrics and mechanical characterization of the collagen membrane are not available for this extraction; rabbit (not human) model only, with no clinical evidence.",abstract_only
PUBMED_0908,40168696,2025,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2025.114656,epithelium_limbus,decellularized allogeneic (human) amniotic membrane-derived injectable hydrogel,"decellularized human amniotic membrane hydrogel (dAM-gel), produced via a freeze-thaw decellularization protocol","human amniotic membrane decellularized using a freeze-thaw protocol designed to preserve ECM integrity; decellularization efficiency assessed via collagen content, glycosaminoglycan (GAG) content, and residual DNA quantification; dAM-gel formed at varying concentrations and gelation capacity/time characterized; limbal stem cell (LSC) migration and proliferation assessed in the presence of dAM-gel; agrin content and Yap1-cyclin D1 signaling pathway investigated as a mechanistic explanation for LSC proliferation effects","limbal stem cells (LSCs), particularly the p63-positive subpopulation",not specified in detail beyond 'limbal stem cells'; species not explicitly stated in the retrieved abstract,no / not reported in abstract,partial,yes,yes,no,no,no,early preclinical (in vitro only),medium,"A freeze-thaw-decellularized human amniotic membrane hydrogel (dAM-gel) achieved near-complete DNA removal (minimal immunogenicity risk) with only modest, non-significant reductions in collagen and GAG content, and formed robust hydrogels at 14 mg/mL within ~28 minutes; the gel promoted migration and proliferation of p63-positive limbal stem cells, mechanistically attributed to a high endogenous agrin content acting through the Yap1-cyclin D1 pathway to expand LSCs while preserving stemness -- suggesting dAM-gel could help overcome the insufficient stem-cell-quantity limitation behind variable clinical success of allogeneic cultured LESC transplantation.","Purely in vitro study with no ex vivo or in vivo/animal transplantation evaluation reported; no optical transparency or bulk mechanical (modulus) data given; cell source/species and sample sizes not fully specified in the retrieved abstract; collagen/GAG content changes were not statistically significant (P=0.08 and P=0.27), a limitation on decellularization-protocol ECM preservation claims.",abstract_only
PUBMED_0919,40296037,2025,Journal of nanobiotechnology,10.1186/s12951-025-03366-2,epithelium_limbus,"natural polysaccharide-based self-healing, adhesive, injectable hydrogel loaded with cell-derived extracellular vesicles","aldehyde-modified oxidized guar gum (OGG) crosslinked with carboxymethyl chitosan (CMCS) via dynamic Schiff base bonds, loaded with mesenchymal stem cell exosomes (MSC-Exos)","OGG synthesized via oxidation to introduce aldehyde groups; OGG combined with CMCS through dynamic, reversible Schiff base bonding to form a self-healing hydrogel network; MSC-derived exosomes (MSC-Exos) loaded into the hydrogel; physicochemical properties (porosity, mechanical strength, light transmittance) tuned by varying OGG concentration; shear-thinning, self-healing, injectability, and tissue-adhesion properties characterized; corneal epithelial cell uptake of exosomes and migration assessed in vitro; therapeutic efficacy assessed in a rabbit cornea defect model evaluating collagen deposition and inflammation",corneal epithelial cells (in vitro exosome-uptake/migration assays); species not specified in the retrieved abstract,mesenchymal stem cell exosomes (MSC-Exos) as the bioactive cargo; source MSCs not further specified in the retrieved abstract,yes,yes,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"A self-healing, injectable, tissue-adhesive hydrogel formed from aldehyde-modified oxidized guar gum and carboxymethyl chitosan via dynamic Schiff base chemistry, loaded with mesenchymal stem cell exosomes, achieved tunable porosity, mechanical strength, and light transmittance via OGG concentration; the exosome cargo was taken up by corneal epithelial cells and promoted their migration in vitro, and in a rabbit corneal defect model the hydrogel adhered firmly to the wound and significantly improved repair by enhancing collagen deposition and reducing inflammation -- supporting this multifunctional, cell-free (exosome-based) hydrogel as a promising injectable therapeutic for corneal wound healing.","No specific numeric transmittance, modulus, or tensile-strength values reported despite qualitative claims of tunability; exact OGG concentration used for the in vivo studies and follow-up duration not specified numerically in the retrieved abstract; rabbit (not human) model only, with no clinical evidence; long-term degradation/integration of the hydrogel not assessed.",abstract_only
PUBMED_0937,40451552,2025,Journal of controlled release : official journal of the Controlled Release Society,10.1016/j.jconrel.2025.113900,epithelium_limbus,"synthetic photocurable hydrogel (porous GelMA) functioning as a topical, non-invasive stem-cell delivery vehicle rather than an implanted structural scaffold","porous Gelatin Methacryloyl (GelMA, referred to as 'PG') hydrogel, fabricated with enlarged pore sizes via phase-separation technology","in vitro and in vivo screening of multiple photocurable hydrogels performed to identify an optimal delivery candidate; porous GelMA (PG) hydrogel prepared via phase-separation technology to achieve larger pore sizes; hydrogel evaluated against four design criteria (stem-cell encapsulation before delivery, maintenance of stem-cell viability/self-renewal via non-canonical Wnt-pathway activation, uniform ocular-surface adhesion, and support of stem-cell proliferation/migration/adhesion); cultivated limbal stem cells encapsulated in PG hydrogel and applied topically -- combined with a corneal bandage contact lens -- to a rabbit LSCD model",cultivated limbal stem cells,not specified in detail beyond 'cultivated limbal stem cells'; species not explicitly distinguished from the rabbit recipient model in the retrieved abstract,no / not reported in abstract,unclear / not reported in abstract,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"A porous, phase-separation-fabricated GelMA photocurable hydrogel (PG) was identified through in vitro/in vivo screening as satisfying four key stem-cell-delivery criteria (encapsulation, viability/self-renewal maintenance via non-canonical Wnt activation, uniform ocular-surface adhesion, and support of cell migration/proliferation); combined with a corneal bandage lens, PG hydrogel enabled sutureless, non-invasive topical delivery of cultivated limbal stem cells in a rabbit LSCD model, simplifying the transplantation procedure, reducing surgery time, and achieving avascular, scar-free corneal regeneration -- a notably lower-invasiveness alternative to surgical LESC transplantation.","No optical transparency or numeric mechanical/adhesion-strength data reported; rabbit (not human) model only, with no clinical evidence; exact follow-up duration, sample sizes, and quantitative regeneration/healing-rate values not given in the retrieved abstract; long-term hydrogel degradation/clearance not assessed.",abstract_only
PUBMED_1011,41234357,2025,Frontiers in cell and developmental biology,10.3389/fcell.2025.1667309,epithelium_limbus,"single ECM protein surface coating (fibronectin) used as a 2D culture-substrate biomaterial, plus niche-cell-conditioned media -- not a fabricated 3D scaffold","fibronectin (FN) coating applied at 3, 5, and 8 micrograms/cm2 concentrations; conditioned media collected from limbal mesenchymal stromal cells (LMSCs), limbal melanocytes (LM), and human epidermal melanocytes (HEMn, negative control)","primary cultures of limbal niche cells (LESCs, LMSCs, LM) established from remnant human corneal transplant specimens, with HEMn included as a negative-control cell source; LESCs cultured on FN-coated surfaces at three concentrations and/or in LM-, LMSC-, or HEMn-conditioned media; proliferation assessed via doubling time; self-renewal/stemness assessed via PEDF and HES1 gene expression","limbal epithelial stem cells (LESCs), limbal mesenchymal stromal cells (LMSCs), limbal melanocytes (LM); human epidermal melanocytes (HEMn) as a negative control","human, primary, derived from remnant human corneal transplant specimens",not applicable / not reported in abstract,not applicable / not reported in abstract,yes,yes,no,no,no,"early preclinical (in vitro, mechanistic/basic-science study)",medium,"Both fibronectin coating (most effective at a relatively low 3 microgram/cm2 concentration) and limbal-niche-cell-conditioned media (from LMSCs and limbal melanocytes) upregulated self-renewal-associated gene expression (PEDF, HES1) in cultured limbal epithelial stem cells relative to controls, supporting the potential of engineering the in vitro niche -- via ECM coating concentration and paracrine conditioned-media factors -- to preserve LESC stemness during ex vivo expansion ahead of transplantation.","This is a mechanistic/basic-science cell-biology study, not a fabricated-scaffold biomaterial study -- no 3D scaffold, optical, or mechanical characterization is reported; the specific paracrine factors responsible for the conditioned-media effect are not identified; doubling-time and gene-expression fold-change numeric values are not given in the retrieved abstract; purely in vitro with no ex vivo/animal/clinical evaluation; authors explicitly note further research is needed to elucidate underlying mechanisms.",abstract_only
PUBMED_1016,41379646,2026,Cornea,10.1097/ICO.0000000000004073,epithelium_limbus,"decellularized native human tissue substrates (comparative study, not a fabricated/engineered biomaterial)",decellularized human Descemet membrane (DM) compared against decellularized human amniotic membrane (AM) as limbal epithelial stem cell (LESC) culture substrates,"donor limbal epithelial cells pooled, reseeded, and expanded on decellularized DM versus decellularized AM; airlift organ cultures performed on DM-limbal tissue constructs to test stratified epithelial growth support; DM and AM also compared directly for transparency and resistance to collagenase digestion",limbal epithelial stem cells (LESCs),human (pooled donor limbal epithelial cells),yes,partial,yes,no,yes,no,no,early preclinical (ex vivo human donor-tissue/organ-culture model),high,"Decellularized human Descemet membrane (DM) preserved limbal epithelial stem cell (LESC) stemness (higher ABCG2/ABCB5, lower p63alpha, lower proliferation) better than amniotic membrane (AM), supported physiologic stratified epithelial differentiation under airlift organ culture, and was more transparent and more resistant to collagenase digestion than AM -- positioning DM as a promising new long-term culture/transplantation scaffold alternative to AM for limbal stem cell therapy.","Ex vivo donor-tissue and organ-culture model only, no live animal or human clinical transplantation evaluation; pooled (not individually tracked) donor cells; DM supply/scalability for clinical-scale use not addressed in abstract; no quantitative transparency or tensile mechanical values reported.",abstract_only
PUBMED_1071,42032346,2026,npj biomedical innovations,10.1038/s44385-026-00066-w,epithelium_limbus,synthetic electrospun polymer scaffold surface-functionalized with natural extracellular-matrix proteins,"electrospun Poly Lactide-co-Glycolic Acid (PLGA) scaffold, surface-functionalized with Collagen IV and Laminin-521 via atmospheric plasma treatment","PLGA scaffold fabricated by electrospinning; scaffold surface functionalized with Collagen IV and Laminin-521 via atmospheric plasma treatment to address PLGA's inherent hydrophobicity and enhance biocompatibility; micro-perforations introduced by laser cutting to improve scaffold transparency and membrane permeability; induced pluripotent stem cell-derived limbal stem cells (iPSC-LSCs) cultured on the functionalized scaffold; attachment, survival, and expression of LSC stemness and corneal epithelial differentiation markers assessed",induced pluripotent stem cell-derived limbal stem cells (iPSC-LSCs),"human, induced pluripotent stem cell (iPSC)-derived",yes,no / not reported in abstract,yes,yes,no,no,no,early preclinical (in vitro only),medium,"Surface functionalization of an electrospun, laser-micro-perforated PLGA scaffold with Collagen IV and Laminin-521 (via atmospheric plasma treatment) overcame PLGA's inherent hydrophobicity and successfully supported attachment, survival, and stemness/differentiation-marker expression of iPSC-derived limbal stem cells, with Laminin-521 identified as essential for cell attachment and survival -- establishing this functionalized PLGA scaffold as a viable in vitro platform for iPSC-LSC transplantation, pending future in vivo efficacy studies explicitly planned by the authors.","Purely in vitro study with no ex vivo, animal, or clinical evaluation (explicitly noted by the authors as future work); no numeric mechanical or quantitative transmittance data reported; sample sizes not specified in the retrieved abstract; long-term functional/barrier performance of the differentiated cells not assessed.",abstract_only
PUBMED_1072,42035972,2026,Acta biomaterialia,10.1016/j.actbio.2026.04.042,epithelium_limbus,"3D-printed synthetic (PEGDA) niche scaffold combined with a natural-polymer (collagen vitrigel) membrane, auto-bioprinted with cell-derived limbal organoids","polyethylene glycol diacrylate (PEGDA), microstereolithography-printed into annular niche structures; collagen vitrigel (CV) membrane fabricated by lithography/imprinting to bear a limbal stem cell niche (LSCN) annulus pattern","rabbit primary limbal cells sequentially cultured in Matrigel, then U-shaped plates, then mesh microwells to form homogeneous limbal organoids (LOs) exhibiting a corneal epithelial phenotype and stem-cell characteristics; PEGDA annular structures fabricated via microstereolithography; a collagen vitrigel (CV) membrane bearing an LSCN annulus produced by lithography and imprinting technology; LOs auto-bioprinted onto the CV membrane with LSCN annulus to form LO-sheets; sheets transplanted onto a rabbit model of complete excision of the anterior superficial cornea","rabbit primary limbal cells, matured into limbal organoids (LOs)","rabbit, primary",no / not reported in abstract,no / not reported in abstract,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"Rabbit primary limbal cells were matured into limbal organoids (LOs) with a corneal epithelial/stem-cell phenotype, then auto-bioprinted onto a microstereolithography- and lithography-patterned collagen vitrigel membrane bearing a biomimetic limbal stem cell niche (LSCN) annulus; niche-annulus positioning markedly elevated P63 stemness-marker expression, and transplantation of the resulting LO-sheets onto a rabbit model of complete anterior corneal excision markedly accelerated epithelial healing while reducing fibrosis (alpha-SMA) and inflammation (CD45) markers versus untreated controls -- demonstrating a complete organoid-to-bioprinted-niche-scaffold-to-in-vivo-repair pipeline for LSCD treatment.","No optical transparency or mechanical (modulus) data reported; rabbit (not human) model only, with no clinical evidence; exact follow-up duration and quantitative healing-rate/marker-reduction values are not given in the retrieved abstract; long-term durability/integration of the PEGDA/collagen-vitrigel niche scaffold not assessed.",abstract_only
PUBMED_0016,29176452,2018,Cornea,10.1097/ICO.0000000000001459,stroma,"injectable/moldable collagen-like peptide hydrogel filler plus a collagen hydrogel patch, used as a biologic sealant alternative to cyanoacrylate glue",collagen-like peptide conjugated to polyethylene glycol (CLP-PEG) hydrogel and its chemical crosslinker; 100-micron thick collagen hydrogel patch,"CLP-PEG hydrogel and its crosslinker tested for biocompatibility; tested as fillers in ex vivo human donor corneas with surgically created full-thickness perforations; three sealing methods compared head-to-head (n=10 each): (1) cyanoacrylate glue with polyethylene patch applied ab externo [clinical gold standard], (2) 100-micron collagen hydrogel patch applied ab interno alone, (3) the same collagen hydrogel patch ab interno supplemented with CLP-PEG hydrogel molded in situ to fill the remaining stromal defect; bursting pressure measured for each method",not applicable -- acellular hydrogel sealant/filler system; no cells reported,not applicable,no / not reported in abstract,yes,partial,no,yes,no,no,early preclinical (ex vivo human tissue model),medium,"In ex vivo human donor corneas with surgically created full-thickness perforations, an ab interno collagen hydrogel patch (with or without a supplemental CLP-PEG hydrogel filler) achieved effective sealing in 100% of specimens, versus a 30% failure rate for conventional ab externo cyanoacrylate glue patching, even though the bursting pressure achieved by the collagen-based approaches (46.3-86.6 mmHg) was substantially lower than cyanoacrylate (325.9 mmHg); the CLP-PEG system is additionally designed to promote corneal tissue regeneration rather than remain as a permanent inert glue.","Ex vivo human cornea model only, with no in vivo or clinical evaluation; bursting pressure of the collagen-based methods is markedly lower than the cyanoacrylate gold standard, raising open questions about performance under physiological intraocular-pressure fluctuations or trauma; modest sample size (n=10/group); authors explicitly state further material refinement and clinical trials are required before clinical use.",abstract_only
PUBMED_0152,30995622,2019,Biofabrication,10.1088/1758-5090/ab1a8b,stroma,"decellularized extracellular matrix (dECM) bioink, 3D-printed",corneal stroma-derived decellularized extracellular matrix (dECM) bioink,"3D cell printing technique inducing controlled shear stress (via variable printing nozzle size) on a corneal stroma-derived dECM bioink to drive shear-induced alignment of collagen fibrils, recapitulating the native lattice microarchitecture of corneal stroma","not specified by type in the abstract summary (bioink is cell-laden per 3D 'cell printing' terminology, but specific cell type/source not given in abstract text retrieved)",not specified in abstract,yes,partial,yes,yes,no,yes,no,"preclinical (animal model, 4-week follow-up)",high,"A 3D-cell-printing technique using shear stress (via printing nozzle size) on corneal stroma-derived dECM bioink produced a transparent, highly matured corneal stroma analog with native-like aligned, lattice-patterned collagen fibrils and high cellular alignment; after 4 weeks in vivo, the printed construct remodeled into a collagen fibril lattice pattern resembling native human cornea, demonstrating feasibility of engineering structurally and optically native-mimetic corneal stroma tissue via bioprinting.",Animal species and specific cell type/source used for the in vivo 4-week evaluation and bioink not specified in the retrieved abstract text; no quantitative transparency (transmittance) or tensile mechanical values reported; long-term (beyond 4 weeks) durability and functional integration not addressed in abstract.,abstract_only
PUBMED_0273,32368948,2020,Tissue engineering. Part A,10.1089/ten.TEA.2020.0019,stroma,"decellularized xenogeneic (porcine) sheet / hydrogel composite, bottom-up multilayer assembly","decellularized porcine corneal sheets (cryosectioned lenticules, detergent-decellularized, air-dried) layered with cell-laden collagen type I hydrogel between sheets; human corneal stromal cells encapsulated in the collagen I hydrogel; human corneal epithelial cells seeded on the surface of a subset of constructs","corneal lenticules cut from porcine corneas by cryosectioning, then decellularized using detergents and air-dried for storage as thin sheets; human corneal stromal cells encapsulated in collagen I hydrogel and cast between multiple stacked decellularized porcine sheets using a novel bottom-up layering assembly technique to achieve high, uniform cellularity throughout the construct; constructs cultured 2 weeks in serum-free medium with ascorbic acid and insulin; epithelial cells then seeded on the surface and cultured an additional week; constructs without epithelial cells sutured onto an ex vivo porcine cornea and cultured 1 week to test surgical integration",human corneal stromal cells (encapsulated in hydrogel) and human corneal epithelial cells (surface-seeded on a subset of constructs),"human (corneal stromal and epithelial cells); porcine (decellularized sheet material, acellular)",yes,partial,yes,yes,yes,no,no,early preclinical (in vitro / ex vivo),high,"A novel bottom-up multilayer assembly technique -- alternating decellularized porcine corneal sheets with cell-laden collagen I hydrogel -- achieved rapid, uniform recellularization (dsDNA reduced to 13 ng/mg dry tissue) with a keratocyte-like phenotype (upregulated keratocan, decorin, lumican, collagen I, ALDH3A1, CD34) and stratified corneal epithelium; the resulting corneal stromal equivalent was surgically suturable without tearing, integrated with host tissue and was covered by host-derived neoepithelium after 1 week ex vivo on porcine corneas, demonstrating feasibility of a simple, rapid, tissue-derived-only approach to anterior corneal substitute fabrication.","Ex vivo porcine cornea integration testing only, no live animal or human clinical evaluation; xenogeneic (porcine) sheet component carries immunogenicity considerations; no quantitative transmittance or tensile mechanical values given in the retrieved abstract despite characterization being described; short (1-week) ex vivo integration follow-up.",abstract_only
PUBMED_0344,33028837,2020,Scientific reports,10.1038/s41598-020-72978-5,stroma,chemically crosslinked natural-polymer in situ-forming hydrogel,collagen type I hydrogel crosslinked in situ via multi-functional polyethylene glycol (PEG)-N-hydroxysuccinimide (NHS) chemistry,"collagen type I mixed with multi-arm PEG-NHS crosslinker; hydrogel forms under ambient conditions within minutes upon mixing, without external catalyst, light, or heat trigger; transparency, degradability, and stiffness tuned by varying number of PEG arms and PEG concentration; applied directly in situ over stromal keratectomy wounds in vivo without sutures",corneal epithelial cells and corneal stromal cells (in vitro migration/proliferation assays); host-derived cells only in vivo (no exogenous cell seeding for in vivo arm),"not fully specified in abstract (species of in vitro epithelial/stromal cells not given); in vivo arm uses host rabbit-derived repopulation, no exogenous cells implanted",yes,yes,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"A suture-free, in situ-forming PEG-NHS-crosslinked collagen hydrogel formed rapidly (minutes) under ambient conditions without external trigger, with tunable transparency, stiffness, and degradability via PEG arm number/concentration; it supported corneal epithelial and stromal cell migration/proliferation in vitro, and when applied without sutures over rabbit stromal keratectomy wounds in vivo, supported multi-layered surface epithelialization -- positioning it as a sutureless, trigger-free corneal stromal defect repair matrix.","No quantitative transmittance, modulus, or degradation-rate values given in the retrieved abstract despite qualitative tunability claims; in vivo follow-up duration and sample size not specified; no assessment of long-term integration, scarring/haze, or biomechanical suture-retention strength; species/source of in vitro epithelial and stromal cells not specified.",abstract_only
PUBMED_0346,33037282,2020,Scientific reports,10.1038/s41598-020-73730-9,stroma,porous natural-polymer (collagen-based) hydrogel implant,porous collagen-based hydrogel designed to replace a substantial portion of damaged/diseased corneal stroma; drug-loaded variant incorporating a neuroregenerative drug for sustained local release,collagen-based hydrogel engineered for porosity to permit host cell migration/population while maintaining transparency and thickness; implanted using a novel hybrid surgical technique inspired by LASIK refractive surgery (flap-based implantation) rather than conventional lamellar keratoplasty; drug-loaded variant prepared and tested for in vitro sustained-release kinetics as proof-of-concept,not applicable / acellular implant (repopulation relies on host-derived stromal cells migrating into the porous matrix in vivo); no exogenous cells seeded prior to implantation,"not applicable / host-derived (in vivo repopulation by host stromal cells, nerves, and epithelium)",yes,partial,yes,yes,no,yes,no,preclinical (in vivo model with 6-month follow-up) with an in vitro drug-delivery proof-of-concept,high,"A porous collagen-based hydrogel, combined with a novel LASIK-inspired hybrid surgical implantation technique, maintained transparency and thickness six months after implantation in an in vivo model of human corneal surgery, supported host stromal cell repopulation and regeneration of host epithelium and corneal nerves, and as a drug-loaded variant achieved sustained slow-release delivery of a neuroregenerative agent in vitro -- together demonstrating translational potential for stromal tissue replacement and regeneration with an integrated local drug-delivery function.","No quantitative transmittance, modulus, or drug-release-kinetics values given in the retrieved abstract despite qualitative maintenance/sustained-release claims; specific in vivo model species/system for the '6-month' human corneal surgery model not fully detailed in the abstract (described as 'an in vivo model of human corneal surgery'); the neuroregenerative drug is not named; drug-loaded hydrogel tested only in vitro as proof-of-principle, not yet validated in vivo.",abstract_only
PUBMED_0388,33545838,2021,"Materials science & engineering. C, Materials for biological applications",10.1016/j.msec.2020.111673,stroma,"decellularized allogeneic (human donor, surgical-waste-derived) corneal matrix scaffold",allogeneic cornea-derived matrix (ACM) fabricated from human corneal tissue discarded during allogeneic corneal transplantation surgery (donor-tissue surgical waste reuse),discarded human corneal tissue from allogeneic transplantation surgery processed into ACM scaffolds; collagen and glycosaminoglycan (GAG) levels preserved during fabrication while DNA content significantly decreased; scanning electron microscopy used to characterize fiber-like surface structures and multiple interlaced lamellae in cross-section; recellularized in vitro with corneal epithelial cells and corneal stromal cells; ACM then implanted into rabbit corneal stromal pockets in vivo,corneal epithelial cells (for surface stratification) and corneal stromal cells (keratocyte-lineage) seeded on the ACM in vitro,"human (donor-tissue-derived ACM scaffold; corneal epithelial and stromal cells seeded, species/origin of the seeded cells not further specified beyond 'corneal' in the retrieved abstract)",yes,partial,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",medium,"An allogeneic cornea-derived matrix (ACM) fabricated from human corneal tissue discarded during transplantation surgery preserved collagen/GAG content and favorable optical/structural properties while significantly reducing DNA; in vitro, it supported formation of a continuous multi-stratified corneal epithelium (CK3/12+, Connexin43+, p63alpha+) and keratocyte marker expression (KERA+, integrin beta1+) in seeded stromal cells; implanted into rabbit corneal stromal pockets in vivo, the ACM-bearing corneas remained transparent throughout follow-up -- demonstrating feasibility of reusing surgical-waste donor corneal tissue as a bioengineered stromal implant material.",No quantitative optical transmittance or tensile mechanical values given in the retrieved abstract despite favorable-property claims; in vivo follow-up duration not specified numerically; relies on availability of discarded donor corneal tissue from allogeneic transplant surgeries (a supply-limited byproduct source); rabbit (not primate/human) in vivo model; no functional/visual-acuity outcome measures reported.,abstract_only
